method,target_id,input_model,nstruct,coord_sd,coord_weight,best_total_score,median_total_score,best_rmsd_ca,best_pdb_path,notes
quark,2cro,docs/runs/quark_itasser_homology_ablation/server_models/2cro/quark_QA16127_model1.pdb,20,1.0,1.0,669.0826,774.6717,2.2866,data/raw/rosetta_cache/quark_itasser_homology_ablation/quark/2cro/relax_quark_2cro_best.pdb,
itasser,2cro,docs/runs/quark_itasser_homology_ablation/server_models/2cro/itasser_S820085_model1.pdb,20,1.0,1.0,812.4224,949.9748,2.2696,data/raw/rosetta_cache/quark_itasser_homology_ablation/itasser/2cro/relax_itasser_2cro_best.pdb,
