method,target_id,input_model,nstruct,coord_sd,coord_weight,best_total_score,median_total_score,best_rmsd_ca,best_pdb_path,notes
quark,1r69,docs/runs/quark_itasser_homology_ablation/server_models/1r69/quark_QA16125_model1.pdb,5,1.0,1.0,571.7893,650.3501,2.3061,data/raw/rosetta_cache/quark_itasser_homology_ablation/quark/1r69/relax_quark_1r69_best.pdb,
itasser,1r69,docs/runs/quark_itasser_homology_ablation/server_models/1r69/itasser_S820065_model1.pdb,5,1.0,1.0,814.2479,902.4690,2.3167,data/raw/rosetta_cache/quark_itasser_homology_ablation/itasser/1r69/relax_itasser_1r69_best.pdb,
