method,target_id,input_model,nstruct,coord_sd,coord_weight,best_total_score,median_total_score,best_rmsd_ca,best_pdb_path,notes
quark,2cro,docs/runs/quark_itasser_homology_ablation/server_models/2cro/quark_QA16127_model1.pdb,5,1.0,1.0,668.8549,787.6843,2.2615,data/raw/rosetta_cache/quark_itasser_homology_ablation/quark/2cro/relax_quark_2cro_best.pdb,
itasser,2cro,docs/runs/quark_itasser_homology_ablation/server_models/2cro/itasser_S820085_model1.pdb,5,1.0,1.0,940.9563,1102.7665,2.7064,data/raw/rosetta_cache/quark_itasser_homology_ablation/itasser/2cro/relax_itasser_2cro_best.pdb,
